"cartridge_id","cartridge_name","parent_cartridge_id","rim_type_id","cartridge_type_id","bullet_diameter","neck_diameter","shoulder_diameter","base_diameter","rim_diameter","rim_thickness","case_length","overall_length","case_capacity_gr_h2o","pressure_psi","length_to_shoulder","length_to_neck","ql_type_of_cartridge_spec","image_name","Unknown_1","Unknown_2","Unknown_3","Unknown_4","Unknown_5",,
152,".375 Weatherby Magnum",148,5,1,0.375,0.402,0.492,0.512,0.532,0.051,2.86,3.6,,,,,,,,,,,,,
153,".376 Steyr",46,3,1,0.375,0.398,0.4732,0.501,0.494,0.05,2.35,,,,,,,,,,,,,,
154,".38 Long Colt",,2,2,0.361,0.381,,0.381,0.445,0.06,1.031,,,,,,,,,,,,,,
155,".38 S&W",,2,2,0.361,0.3855,,0.3865,0.44,0.055,0.775,1.24,,,,,,,,,,,,,
156,".38 Special",154,2,2,0.357,0.379,,0.379,0.44,0.058,1.155,1.55,,,,,,,,,,,,,
157,".38 Super",206,4,2,0.356,0.384,,0.384,0.406,0.05,0.9,1.28,17.6,36500,,,,,,,,,,,
158,".38-40 Winchester",177,2,1,0.401,0.416,0.4543,0.465,0.52,0.058,1.3,1.59,,,,,,,,,,,,,
159,".38-55 Winchester",,2,2,0.3775,0.392,,0.421,0.506,,2.085,2.51,,30000,,,,,,,,,,,
160,".38-56 Winchester Center Fire",,2,1,0.2775,0.4,0.445,0.505,605,0.065,2.1,2.5,,,,,,,,,,,,,
161,".380 ACP",,1,2,0.355,0.373,,0.374,0.674,0.045,0.68,0.984,,21500,,,,,,,,,,,
162,".40 S&W",48,1,2,0.4,0.423,,0.424,0.424,0.055,0.85,1.35,19.3,35000,,,,,,,,,,,
163,".400 Cor-Bon",180,1,1,0.401,0.423,0.469,0.47,0.471,0.05,0.898,1.2,,,,,,,,,,,,,
164,".400 H&H Magnum",148,5,1,0.411,0.441,0.492,0.513,0.05,,2.846,3.55,104,63000,,,,,,,,,,,
165,".401 Winchester Self Loading",,4,2,0.4065,0.428,,0.429,0.457,0.05,105,2,,37000,,,,,,,,,,,
166,".404 Jeffery",,1,1,0.423,0.452,0.53,0.545,0.543,0.05,2.875,3.53,113,53000,,,,,,,,,,,
167,".405 Winchester",,2,3,0.4115,0.436,,0.461,0.543,,2.583,3.175,,44000,,,,,,,,,,,
168,".408 Cheyenne Tactical",207,1,1,0.408,0.438,0.6,0.637,0.64,0.02,3.04,4.547,159.3,64000,,,,,,,,,,,
169,".41 Action Express",,3,2,0.41,0.434,,0.435,0.394,0.045,0.866,1.17,21.6,32600,,,,,,,,,,,
170,".41 Remington Magnum",,2,2,0.41,0.434,,0.434,0.492,0.06,1.29,1.59,,,,,,,,,,,,,
171,".416 Barrett",,1,1,0.416,0.465,0.732,0.797,0.797,,3.27,4.58,200,,,,,,,,,,,,
172,".416 Remington Magnum",148,3,1,0.416,0.447,0.487,0.513,0.532,,2.85,3.6,,,,,,,,,,,,,
173,".416 Rigby",,1,1,0.416,0.446,0.54,0.589,0.59,0.065,2.9,3.75,127.8,47000,,,,,,,,,,,
174,".44 Magnum",176,2,2,0.429,0.457,,0.457,0.514,0.06,1.285,1.61,,36000,,,,,,,,,,,
175,".44 S&W American",,2,2,0.434,0.438,,0.44,0.506,,0.91,1.44,,,,,,,,,,,,,
176,".44 Special",208,2,2,0.43,0.457,,0.457,0.514,0.06,1.16,1.5,35,15500,,,,,,,,,,,
177,".44-40 Winchester",,2,1,0.427,0.443,0.457,0.471,0.525,,1.31,,,,,,,,,,,,,,
178,".444 Marlin",,2,3,0.429,0.453,,0.4706,0.514,0.063,2.25,2.55,,,,,,,,,,,,,
179,".425 Westley Richards",,3,1,0.435,0.456,0.54,0.543,0.467,,2.64,3.3,,,,,,,,,,,,,
180,".45 ACP",,1,2,0.451,0.473,,0.476,0.48,0.049,0.898,1.275,25,21000,,,,,,,,,,,
181,".45 Colt",,2,2,0.454,0.48,,0.48,0.512,0.06,1.285,1.6,41.6,14000,,,,,,,,,,,
182,".45-70",,2,3,0.458,0.48,,0.505,0.608,0.07,2.1,2.55,,,,,,,,,,,,,
183,".45 Raptor",,1,2,0.452,0.478,,0.478,0.473,0.039,1.8,2.3,,65000,,,,,,,,,,,
184,".450 Bushmaster",89,3,2,0.452,0.48,,0.5,0.473,0.54,1.7,2.26,,40000,,,,,,,,,,,
185,".450 Marlin",189,5,3,0.458,0.48,,0.512,0.532,,2.1,2.55,,,,,,,,,,,,,
186,".458 Socom",179,3,1,0.458,0.485,0.531,0.541,0.473,0.041,1.575,2.26,,35000,,,,,,,,,,,
187,".454 Casull",181,2,2,0.452,0.48,,0.48,0.512,0.057,1.383,1.77,,,,,,,,,,,,,
188,".460 S&W Magnum",187,2,2,0.452,0.478,,0.478,0.52,0.059,1.8,2.3,,65000,,,,,,,,,,,
189,".458x2 American",209,5,3,0.458,0.481,,0.513,0.532,0.05,2,,73,,,,,,,,,,,,
190,".50 Action Express",,3,2,0.5,0.54,,0.547,0.514,0.06,1.285,1.61,,,,,,,,,,,,,
191,".50 Alaskan",136,2,3,0.51,0.536,,0.553,0.61,0.07,2.1,,,,,,,,,,,,,,
192,".50 Beowulf",190,3,2,0.5,0.525,,0.535,0.445,,1.65,2.125,,,,,,,,,,,,,
193,".50 BMG",,1,1,0.51,0.56,0.735,0.804,0.804,0.083,3.91,5.45,292.8,60000,,,,,,,,,,,
194,".500 S&W Magnum",,4,2,0.5,0.526,,0.526,0.556,0.056,1.625,2.3,,60000,,,,,,,,,,,
195,".50 Peacekeeper",210,5,1,0.51,,,0.582,0.603,0.059,2.913,,,,,,,,,,,,,,
196,".50-110 Winchester",,2,3,0.512,0.534,,0.551,0.607,,2.4,2.75,,,,,,,,,,,,,
197,".510 Whisper",128,1,1,0.51,0.549,0.587,0.587,0.588,0.06,1.875,3.34,,,,,,,,,,,,,
198,".30 TC",,,,,,,,,,,,,,,,,,,,,,,,
199,"8x52R Mannlicher",,2,1,0.32,0.352,0.475,0.491,0.554,0.057,2.06,2.994,,,,,,,,,,,,,
200,"7.65x25 Borchardt",,1,1,0.309,0.333,0.378,0.388,0.393,,0.99,,,,,,,,,,,,,,
201,"7.65x21mm Parabellum",200,1,1,0.309,0.332,,0.391,0.393,0.048,0.85,1.175,14.4,34000,,,,,,,,,,,
202,"6mm Lee Navy",,4,1,0.244,0.278,0.402,0.445,0.448,,2.35,3.11,,,,,,,,,,,,,
203,".32 Winchester Self-loading",,2,2,0.321,0.347,,0.349,0.39,0.05,1.24,1.88,,28000,,,,,,,,,,,
204,".30-01",,,,,,,,,,,,,,,,,,,,,,,,
205,".378 Weatherby Magnum",,5,1,0.375,0.399,0.56,0.582,0.579,0.063,2.913,3.65,,,,,,,,,,,,,
206,".38 ACP",,4,2,0.356,0.384,,0.384,0.406,0.05,0.9,1.28,,,,,,,,,,,,,
207,".505 Gibbs",,1,1,0.505,0.538,0.6,0.64,0.64,0.065,3.15,3.85,178,39000,,,,,,,,,,,
208,".44 Russian",175,2,2,0.43,0.457,,0.457,0.515,0.06,0.97,1.43,27.1,14500,,,,,,,,,,,
209,".458 Winchester Magnum",148,5,1,0.458,0.481,,0.513,0.532,0.22,2.5,3.34,,,,,,,,,,,,,
210,".460 Weatherby Magnum",205,5,1,0.458,0.481,0.56,0.582,0.579,0.063,2.913,3.65,141.1,65000,,,,,,,,,,,
211,".17 Ackley Bee",53,2,1,0.172,0.195,0.334,0.349,0.408,0.065,1.35,,16.89,,,,,,,,,,,,
212,".17 Mach IV",60,1,1,0.172,0.206,0.361,0.378,0.378,0.045,1.4,,,,,,,,,,,,,,
213,".17-223 Remington",63,1,1,0.172,0.203,0.358,0.376,0.387,,1.76,2.15,,,,,,,,,,,,,
214,".20 BR",215,1,1,0.204,0.232,0.459,0.47,0.473,0.054,1.535,,,,,,,,,,,,,,
215,".22 BR Remington",112,1,1,0.224,0.246,0.458,0.467,0.479,,1.52,,,,,,,,,,,,,,
216,".10 Eichelberger Dart                   ",,4,1,0.103,0.123,0.277,0.279,0.302,0.043,0.683,0.91,5.3,,0.454,0.587,"Wildcat","10EICHDA.jpg",0.5,5.46,150,,,,
217,".10 Squirrel                            ",,2,1,0.103,0.122,0.293,0.299,0.35,0.065,0.981,1.3,9.4,,0.69,0.837,"Wildcat","10SQUIRR.jpg",0.5,5.46,280,,,,
218,".12 Squirrel                            ",,,,0.123,,,,,,0.976,1.3,9.6,,,,"Wildcat","12SQUIRR.jpg",0.5,7.63,280,,,,
